eirzoningmodcat,modcat_id,FREQUENCY,SUM_ACRES,manual_county,juris,gg_id,tra_id,sesit_id,coc_id,ppa_id,exp2020_id,ex_res_bldg,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,res_rent_cat,job_out_cat
livermoreNANAHRADISNANAinNA,1,128,394.404645823,1,livermore,,,HRADIS,,,in,,,,,,,,,,
livermoreNAtra3DISNANAinNA,2,1309,1676.6702193,1,livermore,,tra3,DIS,,,in,,,,,,,,,,
haywardNANANANANAinres,3,3607,680.363009459,1,hayward,,,,,,in,res,,,,,,,,,
unincorporated_sonomaNANAHRADISNANAoutNA,4,2004,137054.547676,97,unincorporated_sonoma,,,HRADIS,,,out,,,,,,0.0,0.0,,,
fremontNANAHRADISNANAinNA,5,3425,2109.11408004,1,fremont,,,HRADIS,,,in,,,,,,,,,,
pleasantonNAtra3HRADISNANAinNA,6,1622,3055.08168489,1,pleasanton,,tra3,HRADIS,,,in,,,,,,,,,,
dublinNAtra3HRADISNANAinNA,7,782,1742.51068121,1,dublin,,tra3,HRADIS,,,in,,,,,,,,,,
unincorporated_contra_costaNANAHRADISNANAoutNA,8,1348,90426.1849104,13,unincorporated_contra_costa,,,HRADIS,,,out,,,,,,0.0,0.0,,,
brentwoodNANADISNANAinres,9,12563,2535.69897355,13,brentwood,,,DIS,,,in,res,,,,,,,,,
brentwoodNANANANANAinNA,10,921,611.541960844,13,brentwood,,,,,,in,,,,,,,,,,
san_ramonGGNAHRADISNANAinres,11,2363,388.380079736,13,san_ramon,GG,,HRADIS,,,in,res,HM,,50.0,,,,,,
oakleyNANADISNANAinNA,12,1343,5599.97172387,13,oakley,,,DIS,,,in,,,,,,,,,,
antiochNANADISCoCNAinNA,13,540,718.84168971,13,antioch,,,DIS,CoC,,in,,,,,,,,,,
unincorporated_contra_costaNANAHRADISNANAinunNA,14,1288,9390.45136954,13,unincorporated_contra_costa,,,HRADIS,,,inun,,HS,,2.0,,,,,,
unincorporated_contra_costaNANADISNANAinunNA,15,2449,11585.4612321,13,unincorporated_contra_costa,,,DIS,,,inun,,HS,,2.0,,,,,,
san_ramonNANAHRADISNANAinres,16,10551,2104.42371275,13,san_ramon,,,HRADIS,,,in,res,,,,,,,,,
san_ramonNANAHRANANAinNA,17,446,910.324369471,13,san_ramon,,,HRA,,,in,,,,,,,,,,
unincorporated_contra_costaNANADISNANAinunres,18,11897,3017.64257266,13,unincorporated_contra_costa,,,DIS,,,inun,res,HS,,2.0,,,,,,
unincorporated_napaNANAHRANANAoutNA,19,1087,50595.8219947,55,unincorporated_napa,,,HRA,,,out,,,,,,0.0,0.0,,,
unincorporated_napaNANANANANAoutNA,20,696,24772.5083616,55,unincorporated_napa,,,,,,out,,,,,,0.0,0.0,,,
san_franciscoGGtra2cNANANAinNA,21,338,158.753323257,75,san_francisco,GG,tra2c,,,,in,,HM,,55.0,,,,,,
unincorporated_san_mateoNANADISNANAoutNA,22,1890,117097.6749,81,unincorporated_san_mateo,,,DIS,,,out,,,,,,0.0,0.0,,,
petalumaNAtra3HRANANAinNA,23,27,21.8699478061,97,petaluma,,tra3,HRA,,,in,,,,,,,,,,
