pda,tothh,hhpop,hhincq1,hhincq2,hhincq3,hhincq4,sfdu,mfdu,totemp,agrempn,mwtempn,retempn,fpsempn,herempn,othempn,occupancy_rate,non_residential_sqft,sq_ft_per_employee
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sfo1,10098.0,34404.0,3481.0,2074.0,2114.0,2429.0,7555.0,3584.0,23992.0,26.0,6926.0,833.0,6653.0,1773.0,7781.0,0.668299139643,29197203.0,1216.95577693
fre2,5880.0,14949.0,865.0,948.0,1790.0,2277.0,1321.0,4110.0,15040.0,11.0,406.0,1447.0,4670.0,5016.0,3490.0,2.22558667676,6727034.0,447.276196809
liv1,580.0,1368.0,96.0,101.0,138.0,245.0,132.0,316.0,3965.0,3.0,114.0,512.0,1267.0,1535.0,534.0,2.19696969697,2502722.0,631.203530895
her2,630.0,1763.0,101.0,131.0,192.0,206.0,663.0,0.0,129.0,0.0,85.0,1.0,16.0,19.0,8.0,0.475113122172,47224.0,366.07751938
ple1,1292.0,4155.0,111.0,189.0,280.0,712.0,60.0,1268.0,13050.0,0.0,2836.0,2590.0,4061.0,1373.0,2190.0,10.7666666667,8149460.0,624.479693487
her1,86.0,258.0,7.0,10.0,31.0,38.0,2.0,88.0,1181.0,0.0,290.0,153.0,244.0,162.0,332.0,21.5,514782.0,435.886536833
vta1_m,3022.0,7789.0,675.0,494.0,729.0,1124.0,782.0,2357.0,1673.0,2.0,222.0,199.0,399.0,697.0,154.0,1.93222506394,1172528.0,700.853556485
pit1,3464.0,10787.0,1162.0,727.0,900.0,675.0,2296.0,1484.0,4284.0,2.0,574.0,384.0,432.0,1293.0,1599.0,0.754355400697,3570479.0,833.445144725
fre3,4320.0,12052.0,776.0,739.0,1134.0,1671.0,2123.0,2252.0,3097.0,8.0,512.0,369.0,690.0,975.0,543.0,1.01742816769,1744528.0,563.296092993
sfo9_a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ric2,3148.0,8346.0,974.0,632.0,729.0,813.0,1682.0,1827.0,6538.0,0.0,2385.0,371.0,918.0,810.0,2054.0,0.935790725327,6946529.0,1062.48531661
sfo10,4202.0,11226.0,904.0,899.0,971.0,1428.0,2440.0,2139.0,3137.0,1.0,117.0,518.0,547.0,1160.0,794.0,0.86106557377,3282458.0,1046.36850494
ccc1,375.0,723.0,80.0,69.0,105.0,121.0,67.0,333.0,4503.0,17.0,250.0,512.0,1836.0,1049.0,839.0,2.79850746269,2591399.0,575.482789252
wcc1_d,1508.0,4215.0,634.0,366.0,282.0,226.0,119.0,1519.0,4547.0,0.0,277.0,428.0,466.0,2660.0,716.0,6.33613445378,2172775.0,477.848031669
wal1,1140.0,2090.0,244.0,238.0,376.0,282.0,257.0,1010.0,11143.0,20.0,1353.0,1183.0,4860.0,1680.0,2047.0,2.21789883268,4707887.0,422.497262856
pit2,1622.0,4870.0,380.0,359.0,465.0,418.0,1255.0,625.0,904.0,1.0,233.0,47.0,89.0,210.0,324.0,0.646215139442,1015617.0,1123.47013274
sfo9_b,1856.0,6653.0,450.0,309.0,495.0,602.0,1731.0,295.0,2228.0,0.0,134.0,45.0,790.0,382.0,877.0,0.536106296938,2061793.0,925.400807899
fre1,4392.0,12412.0,678.0,674.0,1239.0,1801.0,1889.0,1702.0,3184.0,1.0,709.0,355.0,751.0,884.0,484.0,1.16251985177,2403555.0,754.885364322
sjo7,7853.0,19392.0,2370.0,1949.0,1833.0,1701.0,3072.0,5438.0,9361.0,12.0,902.0,1695.0,2270.0,3095.0,1387.0,1.27815755208,7786798.0,831.833992095
ccc2,972.0,3431.0,477.0,253.0,161.0,81.0,797.0,332.0,1806.0,36.0,658.0,219.0,281.0,104.0,508.0,0.609786700125,2150447.0,1190.72369878
